data,dia,seguidores,seguindo,posts
2021-02-06,Sab,2483960,1215,94
2021-02-07,Dom,2521864,1214,94
2021-02-08,Seg,2645883,1214,95
2021-02-09,Ter,2687200,1216,100
2021-02-10,Qua,2723904,1215,101
2021-02-11,Qui,2796841,1216,102
2021-02-12,Sex,2868843,1219,101
2021-02-13,Sab,2941192,1219,104
2021-02-14,Dom,2981128,1220,105
2021-02-15,Seg,3095290,1220,107
2021-02-16,Ter,3143897,1222,108
2021-02-17,Qua,3191946,1223,110
2021-02-18,Qui,3214662,1222,112
2021-02-19,Sex,3213236,1219,113
2021-02-20,Sab,3227184,1221,117
2021-02-20,Sab,3227184,1221,117
2021-02-21,Dom,3255901,1222,122
2021-02-23,Ter,3313495,1222,122
2021-02-24,Qua,3335060,1221,123
2021-02-25,Qui,3343752,1220,125
2021-02-26,Sex,3355204,1220,130
2021-02-27,Sab,3376534,1218,132
2021-02-27,Sab,3376534,1218,132
2021-02-28,Dom,3396247,1218,133
2021-03-01,Seg,3423943,1218,133
2021-03-02,Ter,3436039,1218,134
2021-03-02,Ter,3436039,1218,134
2021-03-05,Sex,3462510,1214,137
2021-03-06,Sab,3455459,1214,138
2021-03-06,Sab,3455459,1214,138
2021-03-08,Seg,3429050,1213,139
2021-03-08,Seg,3429050,1213,139
2021-03-10,Qua,3412409,1213,140
2021-03-11,Qui,3378249,1212,141
2021-03-11,Qui,3378249,1212,141
2021-03-11,Qui,3378249,1212,141
2021-03-14,Dom,3357832,1213,143
2021-03-15,Seg,3356171,1214,144
2021-03-15,Seg,3356171,1214,144
2021-03-15,Seg,3356171,1214,144
2021-03-17,Qua,3351827,1215,147
2021-03-17,Qua,3351827,1215,147
