data,dia,seguidores,seguindo,posts
2021-02-05,Sex,1118728,1686,288
2021-02-06,Sab,1157388,1685,288
2021-02-07,Dom,1173496,1685,289
2021-02-08,Seg,1245285,1688,289
2021-02-09,Ter,1202414,1689,290
2021-02-10,Qua,1254697,1686,290
2021-02-11,Qui,1297360,1690,291
2021-02-12,Sex,1307392,1690,292
2021-02-13,Sab,1309852,1690,294
2021-02-14,Dom,1320607,1689,295
2021-02-15,Seg,1334047,1690,296
2021-02-16,Ter,1343320,1692,297
2021-02-17,Qua,1354960,1690,298
2021-02-18,Qui,1360528,1692,299
2021-02-19,Sex,1361611,1690,301
2021-02-20,Sab,1362528,1688,301
2021-02-21,Dom,1350505,1688,304
2021-02-21,Dom,1350505,1688,304
2021-02-23,Ter,1355890,1688,309
2021-02-24,Qua,1362144,1687,310
2021-02-25,Qui,1368902,1686,310
2021-02-26,Sex,1371233,1694,314
2021-02-27,Sab,1374212,1699,317
2021-02-28,Dom,1376294,1700,320
2021-03-01,Seg,1376382,1702,323
2021-03-03,Qua,1378289,1708,325
2021-03-03,Qua,1378289,1708,325
2021-03-05,Sex,1383234,1712,329
2021-03-06,Sab,1379080,1711,330
2021-03-06,Sab,1379080,1711,330
2021-03-08,Seg,1358961,1710,331
2021-03-08,Seg,1358961,1710,331
2021-03-10,Qua,1356387,1716,333
2021-03-11,Qui,1351467,1715,335
2021-03-11,Qui,1351467,1715,335
2021-03-11,Qui,1351467,1715,335
2021-03-14,Dom,1359137,1714,340
2021-03-15,Seg,1358763,1716,341
2021-03-15,Seg,1358763,1716,341
2021-03-15,Seg,1358763,1716,341
2021-03-18,Qui,1355499,1714,347
2021-03-19,Sex,1360224,1714,350
2021-03-19,Sex,1360224,1714,350
2021-03-19,Sex,1360224,1714,350
2021-03-19,Sex,1360224,1714,350
2021-03-23,Ter,1368634,1728,360
2021-03-24,Qua,1382472,1724,365
2021-03-25,Qui,1393973,1724,367
