data,dia,seguidores,seguindo,posts
2021-02-03,Qua,3814659,2350,1572
2021-02-04,Qui,3815678,2352,1573
2021-02-05,Sex,3836179,2352,1574
2021-02-07,Dom,3840711,2353,1577
2021-02-08,Seg,3832528,2350,1579
2021-02-09,Ter,3871431,2353,1582
2021-02-10,Qua,3928055,2354,1584
2021-02-11,Qui,3961200,2355,1586
2021-02-13,Sab,4044028,2361,1592
2021-02-14,Dom,4073124,2363,1595
2021-02-15,Seg,4101870,2364,1597
2021-02-16,Ter,4129430,2363,1602
2021-02-17,Qua,4171215,2364,1604
2021-02-18,Qui,4200243,2367,1607
2021-02-19,Sex,4227940,2369,1610
2021-02-20,Sab,4565662,2372,1614
2021-02-21,Dom,4865996,2376,1617
2021-02-21,Dom,4865996,2376,1617
2021-02-23,Ter,5247782,2378,1624
2021-02-24,Qua,5390646,2380,1626
2021-02-25,Qui,5486419,2379,1628
2021-02-27,Sab,5565801,2382,1633
2021-02-28,Dom,5633861,2382,1637
2021-03-01,Seg,5700991,2375,1639
2021-03-02,Ter,5758384,2378,1642
2021-03-03,Qua,5811178,2379,1642
2021-03-03,Qua,5811178,2379,1642
2021-03-05,Sex,5890499,2379,1649
2021-03-06,Sab,5929564,2379,1654
2021-03-06,Sab,5929564,2379,1654
2021-03-08,Seg,6001317,2379,1661
2021-03-08,Seg,6001317,2379,1661
2021-03-10,Qua,6090386,2381,1669
2021-03-11,Qui,6149395,2373,1671
2021-03-11,Qui,6149395,2373,1671
2021-03-11,Qui,6149395,2373,1671
2021-03-14,Dom,6319706,2369,1681
2021-03-15,Seg,6388684,2371,1685
2021-03-15,Seg,6388684,2371,1685
2021-03-15,Seg,6388684,2371,1685
2021-03-18,Qui,6594815,2354,1693
2021-03-19,Sex,6659167,2352,1696
2021-03-19,Sex,6659167,2352,1696
2021-03-19,Sex,6659167,2352,1696
2021-03-19,Sex,6659167,2352,1696
2021-03-23,Ter,6988973,2351,1708
2021-03-24,Qua,7181626,2352,1713
2021-03-25,Qui,7333417,2351,1715
2021-03-26,Sex,7480409,2354,1719
