data,dia,seguidores,seguindo,posts
2021-02-06,Sab,4553610,727,3603
2021-02-07,Dom,4773007,727,3605
2021-02-08,Seg,4785367,727,3605
2021-02-09,Ter,4912599,731,3604
2021-02-10,Qua,5056009,732,3607
2021-02-11,Qui,5185217,735,3608
2021-02-12,Sex,5308004,735,3610
2021-02-13,Sab,5394493,736,3612
2021-02-14,Dom,5461185,737,3614
2021-02-15,Seg,5538146,737,3615
2021-02-16,Ter,5615287,738,3617
2021-02-17,Qua,5718600,750,3620
2021-02-18,Qui,5801744,755,3622
2021-02-19,Sex,5853828,756,3624
2021-02-20,Sab,5887559,756,3626
2021-02-21,Dom,5957841,756,3628
2021-02-22,Seg,6025316,757,3631
2021-02-23,Ter,6088979,758,3633
2021-02-24,Qua,6167064,758,3635
2021-02-25,Qui,6224636,759,3636
2021-02-26,Sex,6260501,760,3639
2021-02-27,Sab,6287141,760,3641
2021-02-28,Dom,6315565,760,3644
2021-03-01,Seg,6341123,760,3647
2021-03-02,Ter,6354316,760,3649
2021-03-03,Qua,6363573,765,3652
2021-03-03,Qua,6363573,765,3652
2021-03-05,Sex,6393365,767,3658
2021-03-06,Sab,6409809,767,3660
2021-03-06,Sab,6409809,767,3660
2021-03-08,Seg,6451384,767,3665
2021-03-08,Seg,6451384,767,3665
2021-03-10,Qua,6585751,772,3672
2021-03-11,Qui,6746209,774,3679
2021-03-11,Qui,6746209,774,3679
2021-03-11,Qui,6746209,774,3679
2021-03-14,Dom,6873077,773,3687
