data,dia,seguidores,seguindo,posts
2021-02-06,Sab,2319810,1572,1212
2021-02-07,Dom,2304593,1572,1213
2021-02-08,Seg,2303697,1573,1214
2021-02-09,Ter,2307721,1572,1215
2021-02-10,Qua,2313045,1573,1215
2021-02-11,Qui,2317122,1573,1216
2021-02-12,Sex,2321097,1574,1217
2021-02-13,Sab,2327047,1574,1219
2021-02-14,Dom,2329887,1574,1221
2021-02-15,Seg,2348833,1576,1223
2021-02-16,Ter,2372626,1576,1226
2021-02-17,Qua,2394972,1577,1231
2021-02-18,Qui,2417014,1578,1234
2021-02-19,Sex,2431068,1579,1237
2021-02-20,Sab,2444619,1580,1238
2021-02-21,Dom,2484315,1579,1245
2021-02-22,Seg,2532237,1589,1249
2021-02-23,Ter,2573341,1592,1254
2021-02-24,Qua,2609237,1593,1259
2021-02-25,Qui,2619254,1596,1263
2021-02-26,Sex,2627461,1597,1264
2021-02-27,Sab,2635213,1598,1266
2021-02-28,Dom,2640017,1598,1268
2021-03-01,Seg,2642426,1598,1270
2021-03-02,Ter,2647844,1599,1272
2021-03-03,Qua,2660381,1600,1277
2021-03-03,Qua,2660381,1600,1277
2021-03-05,Sex,2706041,1600,1283
2021-03-06,Sab,2720133,1603,1284
2021-03-06,Sab,2720133,1603,1284
2021-03-08,Seg,2770958,1604,1289
2021-03-08,Seg,2770958,1604,1289
2021-03-10,Qua,2838364,1604,1295
2021-03-11,Qui,2860509,1604,1295
2021-03-11,Qui,2860509,1604,1295
2021-03-11,Qui,2860509,1604,1295
2021-03-14,Dom,2942555,1604,1301
2021-03-15,Seg,2971685,1608,1301
2021-03-15,Seg,2971685,1608,1301
2021-03-15,Seg,2971685,1608,1301
2021-03-18,Qui,3081794,1608,1311
2021-03-19,Sex,3118695,1608,1313
2021-03-19,Sex,3118695,1608,1313
2021-03-19,Sex,3118695,1608,1313
2021-03-19,Sex,3118695,1608,1313
2021-03-23,Ter,3247078,1610,1318
2021-03-24,Qua,3248742,1610,1318
2021-03-25,Qui,3244598,1610,1320
2021-03-26,Sex,3249238,1610,1320
