data,dia,seguidores,seguindo,posts
2021-02-05,Sex,1290215,1975,95
2021-02-06,Sab,1546882,1973,97
2021-02-08,Seg,2875345,1978,107
2021-02-09,Ter,3090369,1980,105
2021-02-10,Qua,3875165,1980,108
2021-02-11,Qui,4191673,2001,112
2021-02-12,Sex,4388864,2002,114
2021-02-13,Sab,4548054,2002,115
2021-02-14,Dom,4700690,2004,118
2021-02-15,Seg,4832644,2007,120
2021-02-16,Ter,4865384,2007,121
2021-02-17,Qua,5124973,2007,124
2021-02-18,Qui,5273289,2007,127
2021-02-19,Sex,5368190,2009,129
2021-02-20,Sab,5445036,2009,130
2021-02-21,Dom,5632176,2013,132
2021-02-22,Seg,5831241,2014,136
2021-02-23,Ter,6126602,2016,143
2021-02-24,Qua,6287233,2018,144
2021-02-25,Qui,6431916,2022,148
2021-02-26,Sex,6530690,2033,150
2021-02-27,Sab,6614141,2035,153
2021-02-28,Dom,6689434,2031,154
2021-03-01,Seg,6765743,2035,156
2021-03-02,Ter,6832357,2034,158
2021-03-03,Qua,6780189,2033,158
2021-03-03,Qua,6780189,2033,158
2021-03-04,Qui,6819334,2033,161
2021-03-06,Sab,6882451,2007,165
2021-03-06,Sab,6882451,2007,165
2021-03-07,Dom,6893953,2007,166
2021-03-07,Dom,6893953,2007,166
2021-03-10,Qua,6779042,2006,168
