data,dia,seguidores,seguindo,posts
2021-02-06,Sab,3134785,392,2177
2021-02-07,Dom,3153509,394,2177
2021-02-08,Seg,3169051,394,2177
2021-02-09,Ter,3195574,395,2178
2021-02-10,Qua,3243369,395,2178
2021-02-11,Qui,3313824,396,2182
2021-02-12,Sex,3333861,397,2182
2021-02-13,Sab,3366621,397,2183
2021-02-14,Dom,3385693,399,2184
2021-02-15,Seg,3419638,400,2185
2021-02-16,Ter,3439643,402,2186
2021-02-17,Qua,3460797,402,2184
2021-02-18,Qui,3474103,404,2185
2021-02-19,Sex,3479397,403,2186
2021-02-20,Sab,3492839,403,2187
2021-02-21,Dom,3518473,403,2188
2021-02-22,Seg,3537591,403,2190
2021-02-23,Ter,3554060,403,2191
2021-02-24,Qua,3568927,405,2191
2021-02-25,Qui,3579241,406,2194
2021-02-26,Sex,3589623,407,2195
2021-02-27,Sab,3610101,408,2197
2021-02-28,Dom,3632859,409,2199
2021-03-01,Seg,3661765,408,2202
2021-03-02,Ter,3689274,412,2204
2021-03-03,Qua,3713077,412,2206
2021-03-03,Qua,3713077,412,2206
2021-03-04,Qui,3780518,413,2212
2021-03-06,Sab,3859619,416,2216
2021-03-06,Sab,3859619,416,2216
2021-03-08,Seg,3868947,417,2219
2021-03-08,Seg,3868947,417,2219
2021-03-09,Ter,3874845,417,2219
2021-03-11,Qui,3871285,418,2225
