data,dia,seguidores,seguindo,posts
2021-02-05,Sex,253051,1576,247
2021-02-06,Sab,256427,1575,249
2021-02-07,Dom,260394,1577,251
2021-02-08,Seg,269489,1582,254
2021-02-09,Ter,287596,1583,258
2021-02-11,Qui,303753,1583,261
2021-02-12,Sex,310701,1583,264
2021-02-13,Sab,316441,1582,266
2021-02-14,Dom,330345,1583,274
2021-02-15,Seg,343337,1585,277
2021-02-16,Ter,357371,1588,282
2021-02-17,Qua,376226,1588,285
2021-02-18,Qui,391207,1590,288
2021-02-19,Sex,405053,1591,290
2021-02-20,Sab,412057,1591,291
2021-02-21,Dom,493549,1594,296
2021-02-22,Seg,601444,1595,300
2021-02-23,Ter,672356,1598,304
2021-02-24,Qua,783094,1598,307
2021-02-25,Qui,851669,1600,313
2021-02-26,Sex,900043,1600,317
2021-02-27,Sab,920522,1600,321
2021-02-28,Dom,937271,1600,324
2021-03-01,Seg,952509,1599,329
2021-03-02,Ter,1031845,1678,333
2021-03-03,Qua,1083044,1677,335
2021-03-03,Qua,1083044,1677,335
2021-03-05,Sex,1128684,1679,342
2021-03-06,Sab,1155949,1679,346
2021-03-06,Sab,1155949,1679,346
2021-03-08,Seg,1195104,1691,354
2021-03-08,Seg,1195104,1691,354
2021-03-10,Qua,1237685,1693,363
2021-03-11,Qui,1253947,1694,366
2021-03-11,Qui,1253947,1694,366
2021-03-11,Qui,1253947,1694,366
2021-03-14,Dom,1306157,1695,378
2021-03-15,Seg,1324457,1697,382
2021-03-15,Seg,1324457,1697,382
2021-03-15,Seg,1324457,1697,382
2021-03-18,Qui,1392182,1697,398
2021-03-18,Qui,1392182,1697,398
2021-03-18,Qui,1392182,1697,398
2021-03-18,Qui,1392182,1697,398
2021-03-18,Qui,1392182,1697,398
2021-03-23,Ter,1588031,1700,421
2021-03-24,Qua,1742953,1701,427
2021-03-25,Qui,1835588,1701,431
2021-03-26,Sex,1929431,1703,436
