data,dia,seguidores,seguindo,posts
2021-02-06,Sab,4629083,1480,189
2021-02-07,Dom,5213605,1483,193
2021-02-08,Seg,6139361,1483,198
2021-02-09,Ter,6466259,1488,206
2021-02-10,Qua,6963902,1486,210
2021-02-11,Qui,7327856,1491,216
2021-02-12,Sex,7572443,1490,218
2021-02-13,Sab,7771061,1492,223
2021-02-14,Dom,7957152,1494,226
2021-02-15,Seg,8204246,1495,231
2021-02-16,Ter,8428874,1499,235
2021-02-17,Qua,8738898,1499,239
2021-02-18,Qui,8945611,1501,243
2021-02-19,Sex,9157418,1504,247
2021-02-20,Sab,9375361,1502,251
2021-02-20,Sab,9375361,1502,251
2021-02-21,Dom,9638379,1506,254
2021-02-23,Ter,10510823,1510,262
2021-02-24,Qua,10832248,1510,266
2021-02-25,Qui,11037174,1511,270
2021-02-26,Sex,11205579,1512,274
2021-02-27,Sab,11335433,1512,278
2021-02-28,Dom,11453695,1511,282
2021-03-01,Seg,11592037,1509,286
2021-03-02,Ter,11758460,1509,290
2021-03-03,Qua,11941627,1510,294
2021-03-03,Qua,11941627,1510,294
2021-03-04,Qui,12168600,1510,299
2021-03-06,Sab,12495540,1511,306
2021-03-06,Sab,12495540,1511,306
2021-03-08,Seg,12789032,1517,315
2021-03-08,Seg,12789032,1517,315
2021-03-09,Ter,12956919,1517,319
2021-03-10,Qua,13208042,1518,323
2021-03-10,Qua,13208042,1518,323
2021-03-10,Qua,13208042,1518,323
2021-03-14,Dom,13805824,1522,335
2021-03-14,Dom,13805824,1522,335
2021-03-14,Dom,13805824,1522,335
2021-03-14,Dom,13805824,1522,335
2021-03-17,Qua,14334579,1527,349
