data,dia,seguidores,seguindo,posts
2021-02-06,Sab,680579,1677,1226
2021-02-07,Dom,734579,1684,1228
2021-02-08,Seg,766673,1685,1231
2021-02-09,Ter,792666,1689,1234
2021-02-10,Qua,826813,1694,1237
2021-02-11,Qui,843245,1655,1238
2021-02-12,Sex,851152,1655,1239
2021-02-13,Sab,857529,1654,1240
2021-02-14,Dom,861096,1657,1242
2021-02-15,Seg,913673,1662,1244
2021-02-16,Ter,938560,1665,1245
2021-02-17,Qua,957675,1681,1246
2021-02-18,Qui,969206,1662,1247
2021-02-19,Sex,980213,1571,1249
2021-02-19,Sex,980213,1571,1249
2021-02-20,Sab,987885,1572,1250
2021-02-21,Dom,995674,1574,1252
2021-02-22,Seg,1008268,1534,1255
2021-02-23,Ter,1014963,1542,1256
2021-02-25,Qui,1015398,1549,1257
2021-02-26,Sex,1013855,1551,1257
2021-02-27,Sab,1013154,1553,1257
2021-02-28,Dom,1013697,1567,1258
2021-03-01,Seg,1016053,1571,1259
2021-03-01,Seg,1016053,1571,1259
2021-03-02,Ter,1015685,1576,1260
2021-03-02,Ter,1015685,1576,1260
2021-03-04,Qui,1016443,1578,1254
2021-03-06,Sab,1014807,1576,1254
2021-03-06,Sab,1014807,1576,1254
2021-03-07,Dom,1013507,1580,1255
2021-03-07,Dom,1013507,1580,1255
2021-03-09,Ter,1012835,1586,1258
2021-03-10,Qua,1013651,1587,1259
2021-03-10,Qua,1013651,1587,1259
2021-03-10,Qua,1013651,1587,1259
2021-03-13,Sab,1015505,1591,1261
