data,dia,seguidores,seguindo,posts
2021-02-06,Sab,158346,2148,83
2021-02-07,Dom,155201,2150,83
2021-02-08,Seg,145743,2143,82
2021-02-09,Ter,146921,2142,82
2021-02-10,Qua,158840,2139,83
2021-02-11,Qui,159462,2139,85
2021-02-12,Sex,157105,2139,85
2021-02-13,Sab,152827,2140,86
2021-02-14,Dom,150284,2138,87
2021-02-15,Seg,149011,2137,87
2021-02-16,Ter,148192,2138,88
2021-02-17,Qua,148826,2139,88
2021-02-18,Qui,148533,2139,89
2021-02-19,Sex,148445,2138,90
2021-02-19,Sex,148445,2138,90
2021-02-20,Sab,147594,2139,91
2021-02-21,Dom,147294,2139,92
2021-02-22,Seg,148003,2140,92
2021-02-23,Ter,148747,2140,92
2021-02-25,Qui,151304,2144,97
2021-02-26,Sex,151727,2144,99
2021-02-27,Sab,152763,2145,101
2021-02-27,Sab,152763,2145,101
2021-02-28,Dom,153689,2144,102
2021-03-01,Seg,158127,2145,107
2021-03-02,Ter,163113,2148,106
2021-03-02,Ter,163113,2148,106
2021-03-04,Qui,265807,2146,109
2021-03-05,Sex,270958,2146,110
2021-03-05,Sex,270958,2146,110
2021-03-07,Dom,274426,2147,106
2021-03-07,Dom,274426,2147,106
2021-03-10,Qua,281271,2156,107
