data,dia,seguidores,seguindo,posts
2021-02-06,Sab,1338083,725,2931
2021-02-07,Dom,1316723,725,2931
2021-02-08,Seg,1303344,724,2929
2021-02-09,Ter,1301277,723,2929
2021-02-10,Qua,1284768,723,2921
2021-02-11,Qui,1270212,724,2920
2021-02-12,Sex,1267778,724,2919
2021-02-13,Sab,1264621,724,2919
2021-02-14,Dom,1254321,724,2920
2021-02-15,Seg,1235762,722,2919
2021-02-16,Ter,1227543,723,2920
2021-02-17,Qua,1296762,719,2919
2021-02-18,Qui,1318648,725,2919
2021-02-19,Sex,1339504,725,2921
2021-02-19,Sex,1339504,725,2921
2021-02-20,Sab,1349756,726,2921
2021-02-21,Dom,1344903,718,2925
2021-02-22,Seg,1391430,721,2929
2021-02-23,Ter,1416022,723,2930
2021-02-24,Qua,1451857,726,2935
2021-02-25,Qui,1465635,728,2936
2021-02-27,Sab,1500108,728,2936
2021-02-27,Sab,1500108,728,2936
2021-02-28,Dom,1520082,730,2937
2021-03-02,Ter,1522784,732,2939
2021-03-03,Qua,1522074,731,2943
2021-03-03,Qua,1522074,731,2943
2021-03-05,Sex,1557904,736,2947
2021-03-06,Sab,1563948,743,2951
2021-03-06,Sab,1563948,743,2951
2021-03-08,Seg,1582106,749,2957
2021-03-08,Seg,1582106,749,2957
2021-03-10,Qua,1594114,751,2960
2021-03-11,Qui,1595351,753,2963
2021-03-11,Qui,1595351,753,2963
2021-03-11,Qui,1595351,753,2963
2021-03-14,Dom,1613737,754,2964
2021-03-15,Seg,1618878,745,2967
