data,dia,seguidores,seguindo,posts
2021-02-05,Sex,4355583,470,2721
2021-02-06,Sab,4277298,470,2721
2021-02-07,Dom,4192892,470,2721
2021-02-08,Seg,4037964,470,2724
2021-02-09,Ter,3976801,470,2726
2021-02-10,Qua,3947006,471,2726
2021-02-11,Qui,3911241,471,2729
2021-02-12,Sex,3900567,471,2730
2021-02-13,Sab,3891995,472,2730
2021-02-14,Dom,3875190,472,2731
2021-02-15,Seg,3863659,472,2733
2021-02-16,Ter,3850362,472,2734
2021-02-17,Qua,3839472,472,2735
2021-02-19,Sex,3827318,471,2736
2021-02-20,Sab,3814879,472,2737
2021-02-20,Sab,3797776,472,2738
2021-02-21,Dom,3784433,473,2739
2021-02-21,Dom,3784433,473,2739
2021-02-24,Qua,3770562,475,2740
2021-02-25,Qui,3767512,475,2740
2021-02-26,Sex,3762055,475,2741
2021-02-27,Sab,3755402,475,2743
2021-02-28,Dom,3746455,475,2744
2021-03-01,Seg,3739482,475,2745
2021-03-02,Ter,3730027,474,2747
2021-03-03,Qua,3731365,475,2748
2021-03-03,Qua,3731365,475,2748
2021-03-05,Sex,3725466,475,2750
2021-03-06,Sab,3722215,474,2752
2021-03-06,Sab,3722215,474,2752
2021-03-08,Seg,3717238,476,2752
2021-03-08,Seg,3717238,476,2752
2021-03-10,Qua,3704507,476,2753
2021-03-11,Qui,3696522,477,2755
2021-03-11,Qui,3696522,477,2755
2021-03-11,Qui,3696522,477,2755
2021-03-14,Dom,3684768,477,2757
2021-03-15,Seg,3685246,477,2758
2021-03-15,Seg,3685246,477,2758
2021-03-15,Seg,3685246,477,2758
2021-03-18,Qui,3826282,481,2762
2021-03-19,Sex,3857034,494,2764
2021-03-19,Sex,3857034,494,2764
2021-03-19,Sex,3857034,494,2764
2021-03-19,Sex,3857034,494,2764
2021-03-23,Ter,3864614,502,2765
2021-03-24,Qua,3866185,502,2765
2021-03-25,Qui,3866570,502,2765
2021-03-26,Sex,3866996,503,2766
