data,dia,seguidores,seguindo,posts
2021-02-04,Qui,1829935,1155,134
2021-02-06,Sab,2133264,1160,141
2021-02-07,Dom,2568813,1162,145
2021-02-08,Seg,3305770,1171,151
2021-02-09,Ter,3799904,1174,157
2021-02-10,Qua,4312582,1176,163
2021-02-11,Qui,4563719,1178,166
2021-02-12,Sex,4761916,1180,169
2021-02-13,Sab,4943878,1189,172
2021-02-14,Dom,5154671,1191,175
2021-02-15,Seg,5429713,1192,183
2021-02-16,Ter,5768433,1192,184
2021-02-17,Qua,6203691,1199,186
2021-02-18,Qui,6402923,1202,188
2021-02-19,Sex,6706445,1200,192
2021-02-20,Sab,6885529,1199,193
2021-02-21,Dom,7141881,1202,197
2021-02-21,Dom,7141881,1202,197
2021-02-23,Ter,7947099,1215,208
2021-02-24,Qua,8231926,1215,210
2021-02-25,Qui,8398383,1216,211
2021-02-26,Sex,8519673,1216,213
2021-02-27,Sab,8631961,1216,215
2021-02-28,Dom,8740530,1216,217
2021-03-01,Seg,8855752,1216,220
2021-03-03,Qua,8869819,1219,220
2021-03-03,Qua,8869819,1219,220
2021-03-05,Sex,8926719,1223,225
2021-03-06,Sab,8766250,1222,227
2021-03-06,Sab,8766250,1222,227
2021-03-08,Seg,8664033,1218,231
2021-03-08,Seg,8664033,1218,231
2021-03-10,Qua,8403913,1221,236
2021-03-11,Qui,8021488,1224,239
2021-03-11,Qui,8021488,1224,239
2021-03-11,Qui,8021488,1224,239
2021-03-14,Dom,7854001,1227,248
2021-03-15,Seg,7871979,1227,251
2021-03-15,Seg,7871979,1227,251
2021-03-15,Seg,7871979,1227,251
2021-03-18,Qui,7883704,1229,259
2021-03-19,Sex,7864335,1228,262
2021-03-19,Sex,7864335,1228,262
2021-03-19,Sex,7864335,1228,262
2021-03-19,Sex,7864335,1228,262
2021-03-23,Ter,7614073,1226,273
2021-03-24,Qua,7485497,1227,276
2021-03-25,Qui,7246278,1228,281
2021-03-26,Sex,7153266,1229,284
2021-03-26,Sex,7153266,1229,284
2021-03-28,Dom,6968797,1231,289
