data,dia,seguidores,seguindo,posts
2021-02-06,Sab,956787,1554,199
2021-02-07,Dom,1000378,1551,202
2021-02-08,Seg,1003696,1551,202
2021-02-09,Ter,1025783,1571,205
2021-02-10,Qua,1054750,1556,209
2021-02-11,Qui,1080968,1558,212
2021-02-12,Sex,1099513,1557,216
2021-02-13,Sab,1114763,1561,219
2021-02-14,Dom,1125420,1561,223
2021-02-15,Seg,1140417,1562,227
2021-02-16,Ter,1164026,1569,231
2021-02-17,Qua,1183663,1574,236
2021-02-18,Qui,1197042,1579,240
2021-02-19,Sex,1214322,1580,243
2021-02-20,Sab,1227981,1583,246
2021-02-20,Sab,1227981,1583,246
2021-02-22,Seg,1272869,1586,254
2021-02-23,Ter,1330797,1591,257
2021-02-24,Qua,1372369,1590,261
2021-02-25,Qui,1393506,1589,265
2021-02-26,Sex,1408128,1592,268
2021-02-27,Sab,1422216,1595,271
2021-02-28,Dom,1432938,1599,275
