data,dia,seguidores,seguindo,posts
2021-02-06,Sab,16874651,937,2630
2021-02-07,Dom,16867791,939,2631
2021-02-08,Seg,16863462,938,2633
2021-02-09,Ter,16885680,938,2635
2021-02-10,Qua,16915807,938,2638
2021-02-11,Qui,16943165,938,2640
2021-02-12,Sex,16990953,938,2643
2021-02-13,Sab,17022003,925,2645
2021-02-14,Dom,17043994,924,2648
2021-02-15,Seg,17065917,924,2650
2021-02-16,Ter,17086022,924,2651
2021-02-17,Qua,17105467,923,2654
2021-02-18,Qui,17122081,923,2656
2021-02-19,Sex,17148610,924,2658
2021-02-20,Sab,17172071,924,2660
2021-02-21,Dom,17194518,924,2662
2021-02-22,Seg,17220362,924,2664
2021-02-23,Ter,17248296,923,2660
2021-02-24,Qua,17276378,924,2663
2021-02-25,Qui,17293417,926,2665
2021-02-26,Sex,17301621,929,2667
2021-02-27,Sab,17310998,929,2667
2021-02-28,Dom,17313416,929,2669
2021-03-01,Seg,17316356,930,2671
2021-03-02,Ter,17332631,930,2674
2021-03-03,Qua,17346990,934,2675
2021-03-03,Qua,17346990,934,2675
2021-03-05,Sex,17366613,933,2678
2021-03-06,Sab,17376034,934,2680
